account_id,account_name,country,region,sector,subsector,ownership_type,membership_status,account_manager,family_owned,business_description,tags,sensitivity_level
A001,Northstar Holdings,Singapore,Asia,Diversified Holdings,Industrial services and family office,Family-owned holding company,active,Mara Voss,yes,Family-owned holding company with industrial services logistics and a small family office platform,asia;industrial services;family office;call prep,standard
A002,Meridian Foods,Italy,Europe,Food and Agriculture,Specialty ingredients,Family-owned operating company,active,Jonas Meier,yes,Producer of specialty food ingredients for hospitality and retail supply chains,food;family-owned;events,standard
A003,Cardso Precision,Japan,Asia,Industrial,Precision components,Family-owned operating company,active,Keira Lin,yes,Manufacturer of precision parts for automation equipment and factory systems,asia;precision manufacturing;events,standard
A004,Valen Group,Germany,Europe,Industrial,Industrial cooling and infrastructure,Family-owned holding company,active,Jonas Meier,yes,Industrial group producing cooling systems and equipment for technical infrastructure,germany;industrial;data centers;family-owned,standard
A005,Elmbach Robotics,Germany,Europe,Industrial,Robotics and automation,Family-owned operating company,active,Noemi Hart,yes,Automation company serving factories warehouses and specialist technical facilities,germany;industrial;robotics;data centers,standard
A006,LumenGrid Capital,Germany,Europe,Investment,Infrastructure investment,Institutional investment firm,prospect,Noemi Hart,no,Infrastructure investor focused on energy and digital infrastructure,germany;data centers;not family-owned,standard
A007,Hansei Textiles,South Korea,Asia,Manufacturing,Technical textiles,Family-owned operating company,active,Keira Lin,yes,Second-generation textile manufacturer expanding into technical materials,asia;succession;ownership transition,confidential
A008,Aruna Foods,India,Asia,Food and Agriculture,Packaged foods,Family-owned operating company,active,Keira Lin,yes,Family-owned packaged foods group with regional distribution across South Asia,asia;succession;ownership transition;food,confidential
A009,Pacific Alloy Works,Philippines,Asia,Industrial,Metal components,Family-owned operating company,active,Mara Voss,yes,Industrial metal components producer for machinery and infrastructure customers,asia;succession;stale,standard
A010,Veyra Mobility,Germany,Europe,Industrial,Mobility components,Family-owned operating company,active,Noemi Hart,yes,Producer of drivetrain and mobility components for industrial vehicles,germany;industrial;family-owned,standard
A011,Brindle Packaging,United Kingdom,Europe,Packaging,Renewable packaging,Family-owned operating company,active,Mara Voss,yes,Packaging company developing fiber-based renewable packaging formats,renewable packaging;family-owned,standard
A012,Solmere Renewables,Spain,Europe,Energy,Distributed solar,Founder-led company,prospect,Jonas Meier,no,Renewable energy developer focused on mid-sized commercial solar portfolios,renewables;energy,standard
A013,Atlas Hearth Appliances,United States,North America,Consumer Goods,Home appliances,Family-owned operating company,active,Mara Voss,yes,Appliance manufacturer with a family ownership group and North American distribution,consumer goods;family-owned,standard
A014,Senda Maritime,Singapore,Asia,Logistics,Maritime services,Family-owned operating company,active,Mara Voss,yes,Family-owned maritime services provider with port agency and vessel support operations,asia;singapore;events,standard
A015,Caelum Ceramics,France,Europe,Industrial,Ceramic components,Family-owned operating company,active,Jonas Meier,yes,Manufacturer of advanced ceramic parts for industrial and medical equipment,industrial;family-owned;relationships,standard
A016,Orenko Logistics,United Arab Emirates,MENA,Logistics,Contract logistics,Family-owned operating company,active,Noemi Hart,yes,Regional contract logistics provider serving industrial and retail clients,mena;logistics,standard
A017,TannenWerk Systems,Germany,Europe,Industrial,Building systems,Family-owned operating company,active,Noemi Hart,yes,Specialist in modular building systems for commercial and light industrial sites,germany;industrial;family-owned;unverified data center mention,standard
A018,Miyako Nutrition,Japan,Asia,Food and Agriculture,Specialty nutrition,Family-owned operating company,active,Keira Lin,yes,Nutrition ingredients company with family ownership and professional management,asia;external leadership,standard
